"X","FacsMarker","Individual","InferredCellType","Organ","SamplingSite","Time"
"22028_3_45","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_73","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_75","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_77","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_81","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_83","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_85","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_87","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_89","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_91","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_93","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_3_95","CD45- GFP+ CD31-","1197","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_101","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_105","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_107","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_109","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_11","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_111","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_113","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_115","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_117","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_119","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_13","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_145","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_147","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_149","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_153","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_155","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_157","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_159","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_161","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_163","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_165","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_17","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_19","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_193","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_195","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_197","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_203","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_205","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_207","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_209","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_21","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_211","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_213","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_241","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_243","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_245","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_251","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_253","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_255","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_257","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_259","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_261","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_263","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_289","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_291","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_293","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_295","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_297","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_299","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_3","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_301","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_303","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_305","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_307","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_309","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_311","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_337","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_339","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_341","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
