"","x"
"323","LINC01270"
"324","IGFL2"
"325","FAM83A-AS1"
"326","LGR4"
"327","AKR7L"
"328","IGHG4"
"329","IGHG1"
"330","PPP1R14BP2"
"331","GPC2"
"332","LINC02418"
"333","VAC14-AS1"
"334","UBE2QL1"
"335","TNFRSF25"
"336","LINC01983"
"337","HAGLROS"
"338","PSMD10P2"
"339","AKR1B15"
"340","LINC02474"
"341","NKX1-2"
"342","ANKRD36BP2"
"343","FEZF1-AS1"
"344","FOXD3-AS1"
"345","DLX6-AS1"
"346","LINC00665"
"347","LINC01271"
"348","LINC02535"
"349","DSCAM-AS1"
"350","RPSAP52"
"351","SNHG3"
"352","CCDC169"
"353","MNX1-AS1"
"354","RPL18P13"
"355","LINC00461"
"356","LINC02014"
"357","LUCAT1"
"358","LINC02362"
"359","LINC01234"
"360","LINC00942"
"361","PVT1"
"362","SCARNA13"
"363","BBOX1-AS1"
"364","MEX3A"
"365","SNHG1"
"366","LINC00346"
"367","SALL3"
"368","POLG2"
"369","TUBB3"
"370","LINC02544"
"371","VPS9D1-AS1"
"372","LINC01977"
"373","RUNDC3A-AS1"
"374","AFAP1-AS1"
"375","LHX1"
"376","UHRF1"
"377","HIST1H2BF"
"378","NEFL"
"379","RDM1"
"380","HIST1H2AM"
"381","LINC01395"
"382","HELLPAR"
"383","SNHG4"
