"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2",60441.9949982826,-2.81518262410458,0.249721229329308,-11.2733011593187,1.77777061848998e-29,2.18025788651611e-25
"144568",5647.27733329461,1.76837317447267,0.737339111764371,2.39831733629477,0.0164705891218147,1
"53947",2542.44676154949,-1.08766112684586,0.282425533447364,-3.85114303784637,0.000117567802472002,1
"8086",1731.31151871993,0.430613932325569,0.112871100569799,3.81509465356264,0.000136130743362086,1
"65985",1423.46418384702,0.60694857867681,0.118930266407384,5.10339879839981,3.3360694976517e-07,0.00409135563192005
"51166",328.399449333533,0.161071193249593,0.260770583227886,0.61767393873884,0.53679029446777,1
"79719",2624.36686574575,0.534438824401626,0.118194809060732,4.52167763245012,6.13514444811248e-06,0.0752414115116515
"22848",2442.66209975252,0.141743307662949,0.152105735644862,0.931873522467903,0.351401892609627,1
"14",6360.80024777604,-0.0762253855561837,0.108471457205965,-0.702722979110045,0.482228404310139,1
"57505",1083.17605770585,0.0885705619789756,0.131148007317892,0.675348133687519,0.499454609636871,1
"80755",1511.26992543051,-0.306591276670005,0.18344754703729,-1.67127487732329,0.0946673963155535,1
"132949",517.114689884292,-0.247049725944965,0.1088591147076,-2.26944456243789,0.0232413048699287,1
"60496",1591.34292304916,0.432623351253181,0.131826564405663,3.2817615569643,0.00103160799374669,1
"10157",931.187094225067,-1.04364357250393,0.284660174266213,-3.66627883649058,0.000246105571824154,1
"26574",3687.7119092186,0.30272245662656,0.130886974333567,2.31285395791233,0.0207306699716362,1
"9625",180.500953723439,-0.669619352841853,0.309997061181158,-2.16008290623935,0.0307662520627304,1
"18",1314.82785616399,-0.498079719570295,0.330837682620844,-1.50551084636002,0.132192790416415,1
"19",3258.42418863201,-0.496782921390549,0.236638364256584,-2.09933382083343,0.0357874840423822,1
"10349",161.768404110915,-0.443258001797793,0.313321575940684,-1.41470628209054,0.15715463171696,1
"79963",184.873523569386,-0.205295601541834,0.217515268963355,-0.943821564896304,0.345260838694944,1
"26154",352.475198592121,3.40195030443541,0.575892887502464,5.90726223272006,3.47839830647703e-09,4.26590768306343e-05
"20",1737.83627521876,-0.421118024000564,0.221699142189332,-1.89950227069858,0.0574984683514091,1
"21",637.325819996394,-1.61793494448777,0.356587968445128,-4.53726734399549,5.69878448894951e-06,0.0698898929724768
"23461",1090.86159877685,-0.105165279853412,0.289407674155076,-0.363381103007866,0.716320216025355,1
"23460",571.011883128748,-2.37654886595371,0.40014968076168,-5.93914972374832,2.86504119915504e-09,3.51368652664374e-05
"10347",952.01159960596,0.705224720640027,0.270458598517493,2.6075145124085,0.00912022043921017,1
