Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
1/2-SBSRNA4	74	51	36	66	34	39	41	33	35	18
A1BG	194	315	195	274	456	138	128	175	147	171
A1BG-AS1	128	129	79	145	82	115	137	100	102	45
A1CF	1360	1139	780	1552	1011	6	7	3	3	2
A2LD1	161	144	98	247	166	101	79	115	99	82
A2M	46752	42968	27571	55019	32594	13396	14316	14391	11543	7600
A2ML1	17	23	8	18	15	186	195	154	154	105
A2MP1	8	6	2	8	4	6	7	10	17	5
A4GALT	206	244	187	269	437	173	151	186	191	167
A4GNT	4	2	1	3	0	5	8	3	3	5
AA06	0	0	0	0	0	0	0	0	0	0
AAA1	86	84	56	144	82	10	9	13	13	8
AAAS	5156	5248	3458	6394	3362	2125	2349	2148	1836	979
AACS	2488	2710	1786	3164	2006	3743	3962	3904	3362	2044
AACSP1	73	91	35	114	56	12	13	19	14	11
AADAC	12	6	5	10	6	0	1	0	0	1
AADACL2	0	0	0	0	0	1	0	0	0	0
AADACL3	5	3	0	2	0	0	0	0	0	0
AADACL4	2	0	1	0	0	0	0	0	0	0
AADAT	660	569	389	797	464	548	575	570	532	323
AAGAB	5061	4154	2969	6115	3389	2797	2951	2990	2415	1610
AAK1	3241	2812	1947	3978	2411	18189	18761	19603	15355	11120
AAMP	6685	7681	4682	9053	5194	6878	7412	6799	6019	3428
AANAT	16	9	6	14	10	13	10	19	22	4
AARS	23856	22479	14272	29297	15465	24955	26865	25770	21806	12782
AARS2	2724	2881	1866	3426	2389	2032	2019	2017	1742	1106
AARSD1	2529	2376	1480	3311	1596	2445	2661	2587	2197	1292
AASDH	1087	855	643	1231	749	928	999	1044	838	587
AASDHPPT	5004	3962	2916	6002	3603	8456	8299	9071	7184	5325
AASS	2171	1721	1217	2476	1711	1604	1626	1865	1454	1026
AATF	5366	4779	3258	6807	4054	2194	2332	2389	1955	1315
AATK	147	204	147	219	418	8459	8441	8250	7432	10243
AATK-AS1	3	1	1	5	1	16	8	20	9	3
ABAT	2279	1992	1322	2545	1479	26555	28531	28233	23077	13801
ABCA1	2638	2219	1619	3132	2190	1279	1349	1383	1049	808
ABCA10	23	23	9	30	19	353	346	389	298	212
ABCA11P	635	560	383	722	403	480	532	545	451	277
ABCA12	242	180	142	279	237	12	14	15	10	8
ABCA13	47	36	34	66	45	11	10	7	8	5
ABCA17P	19	18	18	29	13	116	131	103	89	82
ABCA2	4282	5641	3468	5367	6570	49236	51454	48840	41921	36083
ABCA3	1296	1742	1131	1903	1588	13492	14293	13345	11797	7534
ABCA4	261	250	140	302	161	80	103	98	80	52
ABCA5	1892	1623	1144	2226	1458	5282	5265	5623	4167	3307
ABCA6	14	9	6	13	9	516	486	594	400	319
ABCA7	1429	1701	1013	1706	2268	1443	1485	1656	1296	1208
ABCA8	250	229	145	266	194	3565	3784	3803	3086	2017
ABCA9	2	4	0	14	3	661	720	770	540	413
ABCB1	565	496	304	626	381	1923	2012	2108	1663	1037
ABCB10	3104	2428	1671	3560	2176	1549	1539	1607	1396	930
ABCB11	7	3	7	2	3	2	3	0	1	2
ABCB4	280	219	157	352	182	20	34	30	19	15
ABCB5	508	360	263	536	308	0	0	0	0	0
ABCB6	4592	4553	3057	5802	3710	2309	2669	2473	2186	1338
ABCB7	2913	2432	1608	3417	1991	952	947	948	826	583
ABCB8	1483	1969	1283	1961	2041	2683	2926	2766	2248	1674
ABCB9	385	447	305	526	465	1558	1648	1600	1323	1044
ABCC1	9405	9974	5997	11301	7276	1312	1421	1419	1176	689
ABCC10	1492	1697	1128	2004	1490	1606	1692	1846	1497	943
ABCC11	23	23	24	45	19	91	86	83	72	36
ABCC12	1	1	1	0	1	194	211	194	196	127
ABCC13	2	3	0	1	0	1	4	1	2	1
ABCC2	6667	5745	3749	7331	4522	56	54	64	44	43
ABCC3	1796	1902	1141	2252	1515	80	75	76	74	31
ABCC4	3626	3124	2102	4251	2814	381	370	408	300	221
ABCC5	3331	3038	2004	4067	2466	7806	8467	8498	7007	4393
ABCC6	574	673	438	740	596	53	45	35	33	32
ABCC6P1	506	397	304	561	369	19	20	16	16	11
ABCC6P2	51	61	27	70	43	8	5	14	2	2
ABCC8	25	21	15	19	15	5448	5955	5591	4523	2738
ABCC9	1470	1173	861	1754	904	2214	2177	2389	1893	1269
ABCD1	1051	1448	893	1456	1631	199	209	226	190	155
ABCD2	50	29	31	56	33	1696	1696	1735	1311	1032
ABCD3	4696	3853	2839	5747	3553	3128	3226	3321	2797	2091
ABCD4	2318	2181	1380	2692	1514	1744	1990	1912	1640	911
ABCE1	11492	9163	6689	13809	8180	3801	3857	4247	3212	2389
ABCF1	11856	11146	7206	14863	8352	3545	3783	3713	3130	2072
ABCF2	7777	7363	4745	9612	5245	4760	5116	4799	4095	2415
ABCF3	3612	3754	2384	4678	2600	4912	5550	5243	4530	2337
ABCG1	1654	1659	1041	2040	1289	1943	2027	2000	1709	1113
ABCG2	818	657	444	932	544	2281	2332	2448	1926	1392
ABCG4	54	48	32	79	41	2752	3022	2878	2465	1352
ABCG5	278	245	180	322	237	15	16	16	16	8
ABCG8	111	126	82	151	79	41	42	47	30	12
ABHD1	34	42	17	54	25	42	36	48	42	23
ABHD10	2714	2120	1490	3325	1919	3303	3418	3478	2994	2153
ABHD11	1212	1362	785	1638	1024	614	726	663	590	449
ABHD11-AS1	18	18	10	12	13	4	1	1	0	1
ABHD12	4709	4877	3166	6031	3974	7654	8138	8201	6657	4546
ABHD12B	20	18	9	30	11	156	198	202	156	111
ABHD13	1433	1094	768	1521	1084	1596	1600	1844	1415	1110
ABHD14A	443	519	347	604	397	2008	2291	2107	1803	1190
ABHD14A-ACY1	1	0	0	1	2	11	15	3	10	17
ABHD14B	3645	4081	2450	4901	3317	817	937	888	748	476
ABHD15	940	929	565	1221	793	223	242	239	220	160
ABHD16A	2519	2793	1766	3404	2042	4203	4600	4473	3760	2279
ABHD16B	116	129	92	141	473	75	57	68	57	138
ABHD2	8133	7019	4885	8863	6044	12594	13183	13622	11034	7322
ABHD3	2649	2055	1472	3289	1794	778	777	882	697	516
ABHD4	2837	2766	1729	3382	1902	1688	1850	1782	1460	832
ABHD5	1996	1515	1043	2263	1396	1455	1554	1619	1346	908
ABHD6	1056	930	611	1286	644	3913	4224	4202	3442	2220
ABHD8	309	420	273	452	999	2742	2821	2567	2405	3470
ABI1	3910	3338	2156	4751	2706	5760	5939	6022	5010	3349
ABI2	7650	6379	4409	8896	5637	16304	16631	17242	14004	9687
ABI3	66	77	55	87	67	244	239	237	192	137
ABI3BP	467	348	247	506	315	277	277	299	251	175
ABL1	7582	8744	5528	9532	8308	4476	4742	4696	3877	2726
ABL2	3798	3375	2351	4478	2869	4162	4467	4547	3731	2283
ABLIM1	5918	4815	3412	6475	4504	45130	47487	47079	38198	26450
ABLIM2	91	73	66	143	73	4731	5277	4909	4126	2539
ABLIM3	2238	2041	1428	2714	1525	6810	7132	7088	5927	3497
ABO	79	92	61	79	118	26	23	24	25	18
ABP1	23	34	18	26	25	0	0	0	0	0
ABR	4735	5798	3560	6163	4594	27965	30829	29658	24945	15249
ABRA	4	5	1	2	4	27	26	44	35	14
ABT1	1719	1856	1175	2145	1742	738	872	830	690	536
ABTB1	570	646	432	701	657	5216	5494	5412	4536	3478
ABTB2	1088	1035	699	1312	1059	1151	1274	1130	986	667
ACAA1	3686	3755	2284	4701	2488	3903	4368	4046	3576	2067
ACAA2	5596	4664	3251	6798	3626	1851	1928	1975	1677	1100
ACACA	8519	8014	5051	10023	6358	9214	9825	9926	8102	5192
ACACB	933	940	659	1093	719	2305	2550	2450	2028	1129
ACAD10	2101	2002	1245	2415	1581	932	1128	974	846	548
ACAD11	183	163	106	186	174	206	204	214	153	121
ACAD8	2088	1962	1212	2574	1485	2132	2171	2227	1785	1018
ACAD9	2889	3027	1886	3716	2317	2145	2349	2300	1991	1233
ACADL	6	17	7	15	8	85	110	107	100	61
ACADM	5431	4301	2990	6333	3791	3254	3475	3749	2880	2038
ACADS	463	671	395	670	923	433	493	505	405	404
ACADSB	3788	3122	2189	4330	2667	4552	4633	4985	3926	2681
ACADVL	20844	20975	13599	26579	14774	10812	11838	11109	9648	5832
ACAN	58	37	29	65	35	254	245	274	214	145
ACAP1	319	340	258	432	367	47	48	54	47	34
ACAP2	4994	4026	2760	5592	3956	3176	3327	3571	2807	2130
ACAP3	2121	2558	1601	2752	4020	9076	9493	8936	7959	8944
ACAT1	6784	5401	3908	8581	4619	2878	2987	3244	2607	1816
ACAT2	7174	6210	4063	8847	4764	2478	2733	2651	2174	1412
ACBD3	5031	4079	2845	6055	3814	2999	2919	3133	2500	1763
ACBD4	652	750	493	886	726	973	971	991	896	732
ACBD5	2729	2325	1683	3215	2033	4803	5046	5044	4298	3029
ACBD6	2765	2473	1773	3670	2388	1286	1192	1361	1183	893
ACBD7	791	765	528	1144	490	5065	5224	5496	4650	2512
ACCN1	6	7	10	9	9	1638	1809	1667	1382	1107
ACCN2	1067	1111	758	1488	812	4803	5056	4703	4062	2274
ACCN3	262	313	187	387	304	893	951	874	816	615
ACCN4	260	353	210	361	334	511	612	569	446	347
ACCN5	4	2	0	1	0	0	0	2	0	0
ACCS	478	500	295	651	388	154	165	152	146	66
ACCSL	0	0	1	1	1	1	6	0	4	2
ACD	1442	1855	1186	2013	1775	1445	1599	1456	1282	1024
ACE	419	476	287	511	478	427	478	466	388	304
ACE2	50	31	36	69	27	13	8	18	12	8
ACER1	0	0	0	2	0	3	4	5	4	1
ACER2	187	170	114	202	156	280	303	288	243	160
ACER3	1658	1299	995	1969	1252	2333	2292	2509	2007	1420
ACHE	81	108	53	90	145	1970	1993	1995	1746	1682
ACIN1	15065	14588	9547	18555	11102	7806	7983	7991	6801	4235
ACLY	23916	23970	15029	30002	17895	10013	10964	10372	8874	5400
ACMSD	2	2	0	0	1	2	1	1	0	0
ACN9	1826	1481	1048	2254	1246	573	592	632	504	354
ACO1	5834	4997	3360	6906	4153	2395	2640	2549	2012	1381
ACO2	5130	5635	3381	6492	4233	14410	15943	14794	12691	7787
ACOT1	277	342	195	410	215	377	401	381	305	210
ACOT11	150	174	104	200	157	244	248	223	160	121
ACOT12	15	14	8	25	9	3	4	8	0	3
ACOT13	2624	2132	1566	3162	1803	1924	1953	2131	1703	1125
ACOT2	1101	999	602	1383	1011	570	563	547	473	358
ACOT4	131	125	81	156	87	217	255	260	181	135
ACOT6	7	10	3	8	2	19	33	35	29	6
ACOT7	3669	4452	2678	5096	3731	8247	9091	8660	7351	5080
ACOT8	805	1111	637	1150	808	1389	1573	1508	1282	793
ACOT9	2602	2076	1440	3233	1670	839	838	830	707	470
ACOX1	4875	4149	2705	5759	3089	4746	4785	5201	4232	2615
ACOX2	408	399	247	506	247	207	243	214	174	122
ACOX3	777	765	481	1004	668	708	800	718	654	405
ACOXL	37	21	30	19	21	1	3	4	2	4
ACP1	9859	8657	5964	12444	6782	4072	4370	4723	3675	2476
ACP2	1946	1956	1282	2424	1605	2175	2371	2281	1906	1234
ACP5	734	736	498	943	564	51	45	50	42	32
ACP6	1235	1147	785	1530	932	285	227	244	237	144
ACPL2	2190	1755	1203	2498	1453	1441	1525	1496	1252	791
ACPP	62	41	24	83	40	22	13	36	12	15
ACPT	1	0	0	1	1	2	0	1	2	0
ACR	8	7	9	16	14	39	21	36	23	17
ACRBP	95	107	55	130	55	123	131	105	112	67
ACRC	204	162	98	253	136	264	220	235	190	102
ACRV1	29	24	13	30	18	44	74	59	42	31
ACSBG1	129	117	70	132	74	3118	3477	3453	2736	1680
ACSBG2	19	8	10	22	7	24	24	28	28	9
ACSF2	2511	2341	1517	3110	1682	860	913	889	708	448
ACSF3	1416	1672	1034	1886	1420	1079	1162	1104	866	622
ACSL1	3021	2626	1750	3501	2241	5322	5259	5592	4415	3027
ACSL3	13034	10302	7258	15192	9832	8647	9016	9310	7501	5743
ACSL4	12904	10069	7211	14809	10051	6293	6071	6720	5212	3842
ACSL5	1878	1644	1058	2215	1210	1026	1006	1122	839	587
ACSL6	144	124	82	167	91	14384	15167	16026	12523	8103
ACSM1	62	73	41	98	33	18	18	23	10	8
ACSM2A	52	31	24	63	53	0	0	1	0	0
ACSM2B	74	93	66	110	70	0	0	0	0	0
ACSM3	4847	3922	2767	6027	3326	2	8	4	7	7
ACSM4	0	0	0	0	0	0	0	0	1	0
ACSM5	54	56	42	72	45	179	208	187	157	87
ACSS1	2510	2577	1718	3218	1909	4827	5189	4911	4228	2486
ACSS2	4992	4777	2949	6209	3351	3017	3275	3316	2662	1743
ACSS3	1313	1132	769	1472	935	732	731	707	625	428
ACTA1	69	63	42	74	50	66	72	70	70	28
ACTA2	855	769	504	1002	542	2999	3271	3139	2779	1489
ACTB	230746	245948	154819	316594	195574	148761	160519	150881	131158	85554
ACTBL2	20	21	15	34	15	0	1	0	0	0
ACTC1	99	100	51	101	69	208	217	211	163	92
ACTG1	185493	196018	125597	243035	162894	69646	75033	72851	62157	41389
ACTG2	548	567	365	809	384	280	317	316	240	127
ACTL6A	6280	5190	3645	7666	4446	586	585	589	508	347
ACTL6B	3	5	1	1	1	4065	4606	4321	3667	1890
ACTL7A	2	2	6	1	0	0	1	1	2	0
ACTL7B	0	0	0	1	0	0	0	0	0	0
ACTL8	334	372	226	504	254	8	10	8	6	4
ACTL9	0	0	0	0	0	0	0	0	0	0
ACTN1	17890	18473	11624	21628	14917	7195	7799	7441	6291	4150
ACTN2	88	62	45	90	59	3852	3948	4062	3119	2090
ACTN3	12	17	2	16	8	12	15	21	11	5
ACTN4	18567	22266	13920	23123	22758	11742	12519	11404	10074	7833
ACTR10	3521	2924	2018	4288	2410	5450	5528	5925	4896	3306
ACTR1A	8359	8011	5262	10373	5491	16231	17549	17126	14151	8296
ACTR1B	4310	5099	3312	5849	3937	9583	10453	9973	8310	5108
ACTR2	23017	17757	13190	26935	17355	19069	19694	20843	16872	12423
ACTR3	13345	10718	7822	15936	9762	7173	7120	7866	6258	4529
ACTR3B	1294	1128	759	1571	975	2810	3034	2919	2521	1709
ACTR3BP2	0	0	0	1	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	1	0	0
ACTR3C	92	85	57	112	43	90	103	78	85	56
ACTR5	1298	1269	824	1615	988	601	634	657	543	344
ACTR6	2322	1694	1323	2794	1552	2702	2520	2980	2336	1683
ACTR8	1961	1634	1166	2317	1270	1609	1706	1758	1413	981
ACTRT1	0	0	0	0	0	2	0	0	0	0
ACTRT2	0	0	0	0	0	0	1	0	0	0
ACVR1	1851	1546	1043	2136	1200	1414	1457	1422	1206	796
ACVR1B	2211	2043	1334	2605	1693	6321	6776	6661	5566	3331
ACVR1C	149	134	89	160	133	1195	1150	1255	978	729
ACVR2A	817	627	464	899	581	1562	1447	1552	1301	949
ACVR2B	4739	4118	2845	5637	3820	2340	2468	2482	2070	1452
ACVRL1	87	127	76	150	74	1005	1026	1061	951	539
ACY1	23	91	44	45	173	7	13	9	8	18
ACY3	66	92	41	78	67	78	111	92	95	70
ACYP1	1114	979	684	1547	698	930	877	989	892	522
ACYP2	316	284	179	377	288	2453	2435	2833	2235	1625
ADA	6232	6183	3920	8027	4448	290	343	293	244	179
ADAD1	0	0	0	0	0	0	0	0	0	0
ADAD2	0	1	1	3	6	21	16	12	18	30
ADAL	1373	1044	757	1607	909	778	807	891	689	467
ADAM1	549	459	329	631	370	600	690	664	552	386
ADAM10	8156	6789	4856	9334	6295	4558	4552	4805	3679	2642
ADAM11	352	472	295	491	349	10892	11693	11709	9891	6153
ADAM12	1061	1022	665	1185	914	153	151	132	103	90
ADAM15	6959	8189	5173	9177	6721	4060	4193	4117	3553	2425
ADAM17	2526	2225	1434	2933	2101	1290	1305	1402	1055	835
ADAM18	4	2	3	8	5	0	0	0	0	0
ADAM19	988	995	592	1191	723	1364	1496	1416	1171	689
ADAM2	17	11	6	11	8	1	1	0	0	0
ADAM20	17	11	3	10	6	19	23	29	17	9
ADAM21	20	35	25	41	16	60	61	77	58	31
ADAM21P1	3	4	0	2	0	8	12	3	4	6
ADAM22	1063	901	625	1205	807	19218	19878	20852	16090	11965
ADAM23	1950	1617	1097	2321	1155	5004	5159	5082	4135	2601
ADAM28	71	54	44	68	65	242	246	290	210	129
ADAM29	3	4	0	5	3	5	7	8	6	4
ADAM30	0	0	1	0	0	0	0	0	0	0
ADAM32	36	26	21	36	19	60	72	106	74	46
ADAM33	212	220	155	320	195	448	451	422	343	253
ADAM3A	0	0	0	0	0	0	0	0	0	0
ADAM5P	0	0	0	0	0	1	0	1	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0
ADAM8	139	176	126	195	205	196	179	168	137	128
ADAM9	10005	8384	5641	11732	7526	4559	4811	5017	4042	2907
ADAMDEC1	1	0	0	5	0	0	1	0	2	1
ADAMTS1	7051	6018	4179	8596	5202	3746	3750	3902	3296	2297
ADAMTS10	129	160	124	182	251	619	591	662	501	536
ADAMTS12	312	386	204	361	287	9	21	7	11	4
ADAMTS13	319	376	276	422	463	781	852	879	721	583
ADAMTS14	1075	1219	815	1433	1046	546	541	547	462	301
ADAMTS15	735	691	441	880	531	64	85	59	60	47
ADAMTS16	60	85	52	91	60	600	574	602	468	331
ADAMTS17	248	250	163	289	214	194	193	184	156	113
ADAMTS18	41	38	22	41	40	1797	1877	1948	1594	1053
ADAMTS19	228	194	118	251	170	119	83	103	82	69
ADAMTS2	432	442	303	564	454	302	263	294	241	201
ADAMTS20	46	57	38	76	43	2	2	2	2	6
ADAMTS3	655	500	351	724	460	219	257	265	238	150
ADAMTS4	383	424	291	522	382	3295	3424	3263	2975	1979
ADAMTS5	287	275	195	408	284	794	846	912	745	561
ADAMTS6	303	267	170	328	200	54	68	50	61	34
ADAMTS7	278	407	277	386	705	86	74	79	65	73
ADAMTS8	36	49	26	66	47	776	835	718	689	470
ADAMTS9	929	855	561	1068	708	1724	1865	1834	1469	988
ADAMTS9-AS2	9	19	8	14	12	57	77	50	58	24
ADAMTSL1	910	892	586	1098	719	433	416	446	375	248
ADAMTSL2	84	122	66	117	148	1038	1005	966	883	910
ADAMTSL3	64	49	36	57	38	415	435	464	325	240
ADAMTSL4	3371	3626	2307	4137	3257	173	184	212	153	125
ADAMTSL5	426	392	230	445	419	58	41	52	38	38
ADAP1	277	353	198	410	460	5498	5950	5654	4909	4468
ADAP2	171	179	122	263	122	277	276	253	249	145
ADAR	23118	20522	13283	26496	16009	23227	24052	24302	19847	12490
ADARB1	4210	3957	2568	4911	3215	8122	8871	8923	7235	4851
ADARB2	5	3	0	7	6	3779	3846	3886	3208	2332
ADARB2-AS1	0	3	0	0	0	60	39	61	46	24
ADAT1	1746	1559	1015	1826	1154	815	872	893	716	430
ADAT2	1775	1557	1003	2103	1305	359	378	429	369	255
ADAT3	5	11	2	9	201	18	7	6	15	87
ADC	245	279	186	336	201	1859	1980	1962	1685	942
ADCK1	726	691	441	847	489	802	870	819	729	387
ADCK2	1943	2134	1370	2497	1779	2144	2331	2369	1931	1369
ADCK3	2943	3100	2122	3951	2627	4490	4759	4543	4055	2752
ADCK4	1015	1103	726	1249	1218	1496	1585	1498	1209	1004
ADCK5	235	372	226	363	561	369	368	307	311	330
ADCY1	6516	6546	4289	7895	6003	28665	30177	29795	24178	16229
ADCY10	17	18	12	22	12	46	47	40	46	22
ADCY2	168	153	99	183	127	9013	9878	9556	7942	4857
ADCY3	2134	2376	1470	2597	1968	4093	4512	4217	3586	2173
ADCY4	13	11	5	15	6	345	333	326	285	191
ADCY5	239	248	159	289	196	6993	7718	7336	6267	3954
ADCY6	3830	3807	2374	4736	2901	4906	5382	5166	4321	2647
ADCY7	3283	2939	1990	3839	2687	1100	1170	1232	906	637
ADCY8	367	371	226	500	281	1502	1514	1504	1188	744
ADCY9	1814	1949	1294	2199	1845	3262	3484	3361	2844	2022
ADCYAP1	19	18	12	24	17	866	880	971	743	576
ADCYAP1R1	135	110	71	129	74	11215	12036	11309	9585	5877
ADD1	10844	10489	6718	13015	8674	27704	29861	29051	24402	16025
ADD2	2258	2154	1438	2634	1794	6064	6630	6157	5099	3386
ADD3	5905	4782	3451	6864	4517	13702	13756	14850	11362	8537
ADH1A	0	0	0	0	1	0	1	0	1	0
ADH1B	7	8	3	8	11	217	219	209	218	128
ADH1C	3	1	0	3	0	2	1	7	2	0
ADH4	432	318	219	488	265	1	0	2	0	1
ADH5	12777	10932	7232	15651	8332	5012	5101	5401	4258	2916
ADH6	756	603	388	881	494	0	0	0	0	0
ADH7	2	1	4	3	0	0	0	0	0	0
ADHFE1	139	124	91	158	96	937	968	949	777	496
ADI1	4270	3695	2565	5490	2984	2193	2225	2405	1964	1303
ADIG	0	1	0	1	1	2	0	0	0	0
ADIPOQ	0	0	0	0	0	1	7	2	0	2
ADIPOR1	10621	9575	6538	13307	7578	5411	5860	5879	4740	3121
ADIPOR2	9629	8333	5485	11509	6675	9723	10281	10410	8576	5511
ADK	3137	2403	1823	3624	2056	1234	1332	1360	1090	671
ADM	2317	2491	1746	3071	2702	542	426	498	426	340
ADM2	477	661	399	740	584	10	20	11	12	5
ADNP	10979	9368	6326	12330	8138	6707	6832	7066	5759	3941
ADNP2	3493	3159	2118	4086	2762	1830	2025	1898	1505	1140
ADO	2217	1808	1257	2730	1965	3561	3628	3829	3032	2502
ADORA1	228	276	193	304	200	5266	5838	5314	4827	2780
ADORA2A	435	527	359	563	451	692	766	750	647	401
ADORA2B	734	639	436	906	538	324	427	427	336	231
ADORA3	3	3	2	4	3	692	770	753	640	391
ADPGK	5309	4428	3063	6047	3468	1491	1699	1713	1442	910
ADPRH	211	168	116	288	190	239	229	253	223	123
ADPRHL1	206	212	125	247	154	464	504	536	421	290
ADPRHL2	2648	2686	1711	3464	1870	1688	1780	1774	1500	860
ADRA1A	0	0	0	2	0	205	200	166	157	102
ADRA1B	39	52	23	58	43	623	679	675	547	352
ADRA1D	85	76	57	115	71	155	170	173	153	123
ADRA2A	22	19	25	38	42	563	551	580	481	402
ADRA2B	26	16	11	33	16	86	101	93	60	49
ADRA2C	340	482	332	567	644	216	201	207	185	207
ADRB1	59	64	48	95	83	522	538	589	465	420
ADRB2	181	184	97	234	128	134	112	131	118	63
ADRB3	7	5	4	2	3	12	11	6	3	2
ADRBK1	6199	7336	4629	7795	7311	11185	12060	11617	9925	7735
ADRBK2	3014	2545	1671	3577	2028	6687	7013	7085	5656	3506
ADRM1	3844	4947	3166	5481	6532	2807	2795	2778	2542	2391
ADSL	7334	6449	4183	8880	4408	1383	1526	1621	1111	707
ADSS	5426	4233	2945	6411	3940	3411	3546	3903	3084	2328
ADSSL1	1075	1060	695	1428	840	393	406	386	356	190
AEBP1	9281	9959	6454	12214	9148	3802	4255	3814	3380	2283
AEBP2	3474	2536	1941	3930	2498	2054	2090	2220	1794	1386
AEN	3707	3898	2450	4617	3062	789	797	871	670	396
AES	11466	13634	8364	15309	11818	45366	47855	45779	40495	28457
AFAP1	2586	2667	1737	3200	2454	2908	2973	3063	2452	1719
AFAP1-AS1	1479	1410	885	1662	1199	89	84	111	68	50
AFAP1L1	1075	1041	737	1265	853	296	326	343	269	170
AFAP1L2	464	430	300	536	354	3115	3358	3189	2725	1783
AFF1	6109	5255	3495	6741	4757	3002	3130	3054	2589	1723
AFF2	387	317	225	435	234	2978	3285	3186	2543	1746
AFF3	1419	1424	967	1716	1147	6107	6336	6532	5129	3394
AFF4	9108	7407	5253	10173	7406	12098	12126	12663	10046	7227
AFG3L1P	2102	2081	1349	2604	1449	1299	1435	1394	1119	692
AFG3L2	8606	7858	5308	10784	6008	5101	5258	5427	4556	2885
AFM	4	4	3	3	3	0	0	0	0	0
AFMID	3414	3427	2159	4464	2154	2608	2847	2650	2372	1291
AFP	62682	51244	35618	75663	41166	33	26	38	20	13
AFTPH	2354	1947	1379	2823	1819	4825	4826	5280	4050	2997
AGA	1295	1050	735	1521	868	728	756	715	661	421
AGAP1	4125	3841	2584	4711	3248	16743	17955	17731	14775	9264
AGAP11	121	114	63	154	80	120	137	133	112	71
AGAP2	316	322	253	349	305	20892	22512	22045	19314	14352
AGAP3	4363	5123	3227	6001	5311	11742	12376	11241	10207	10309
AGAP4	140	161	93	164	122	213	252	239	197	142
AGAP5	417	356	251	486	273	364	352	386	290	197
AGAP6	1533	1445	1008	1908	1245	1001	1103	1030	930	667
AGAP7	171	203	97	203	147	71	86	73	77	46
AGAP8	154	149	98	200	132	169	154	194	165	81
AGAP9	41	38	20	57	36	42	48	43	40	20
AGBL1	0	1	1	1	0	11	15	6	3	8
AGBL2	99	113	70	175	88	34	38	36	34	13
AGBL3	22	23	23	29	21	74	72	70	55	56
AGBL4	9	4	7	15	6	578	620	644	510	327
AGBL5	4592	4460	2935	5491	3242	1293	1421	1242	1118	672
AGER	647	633	445	838	462	344	390	345	343	166
AGFG1	6787	5666	3850	7804	4841	6304	6514	6859	5255	3900
AGFG2	2017	2155	1424	2593	1821	2640	2867	2720	2338	1487
AGGF1	3537	2707	2064	4286	2763	3339	3345	3495	2840	2050
AGK	3923	3308	2164	4553	2630	3406	3712	3634	2891	1906
AGL	2933	2246	1584	3287	2305	2981	3234	3323	2528	1982
AGMAT	2053	1833	1315	2646	1474	210	218	206	160	94
AGMO	56	49	38	75	39	33	45	56	32	38
AGPAT1	9113	9254	5875	11664	6925	8629	9332	8858	7284	4485
AGPAT2	894	1129	796	1254	2215	239	232	247	193	291
AGPAT3	4462	4560	3101	5434	4893	9668	10186	9982	8379	6785
AGPAT4	1190	1165	788	1348	768	5867	6522	6334	5152	3361
AGPAT4-IT1	55	44	35	61	38	122	163	143	105	60
AGPAT5	6587	5129	3518	7573	4768	3772	3762	4022	3271	2349
AGPAT6	8139	7516	5016	9960	6109	7729	8295	8104	6904	4411
AGPAT9	861	663	489	1047	612	388	460	490	356	269
AGPHD1	171	138	109	209	106	90	103	119	81	39
AGPS	7123	5693	4001	8323	5573	2944	2958	3114	2506	1902
AGR2	2857	2075	1563	3307	1700	1	0	4	3	1
AGR3	175	132	109	208	126	1	2	1	1	0
AGRN	5471	7000	4689	7573	16152	2533	2478	2446	2237	3300
AGRP	1	3	2	1	1	4	5	4	4	2
AGSK1	0	0	8	2	5	4	1	1	1	1
AGT	11666	12383	7780	14929	9442	16975	17853	17637	14800	9324
AGTPBP1	2424	1892	1392	2713	1760	4990	4832	5387	4174	2880
AGTR1	53	53	33	88	41	31	30	45	24	16
AGTR2	0	0	1	1	0	39	37	33	26	21
AGTRAP	1419	1716	1158	1981	1578	430	449	466	364	285
AGXT	240	349	221	333	379	0	0	4	1	0
AGXT2	4	5	0	1	2	0	0	0	0	0
AGXT2L1	73	54	47	106	45	3876	4019	4293	3431	2452
AGXT2L2	1327	1185	771	1625	851	667	767	759	591	375
AHCTF1	8704	7066	5001	9857	6913	4360	4459	4398	3640	2692
AHCY	19093	19669	12060	24135	14651	3748	4084	3843	3268	2019
AHCYL1	14578	12458	8476	17032	10563	32164	33998	34280	28038	19051
AHCYL2	2193	1917	1277	2507	1696	5433	5818	5932	4649	3120
AHDC1	878	1095	692	1105	1804	3624	3715	3682	3180	3635
AHI1	1946	1560	1084	2260	1443	4124	4127	4406	3469	2417
AHNAK	46712	41132	27052	54599	34310	18558	19908	19009	15938	10109
AHNAK2	3628	3567	2348	4607	2976	4522	4963	4717	3935	2689
AHR	6945	5547	4075	7918	4609	1407	1405	1614	1258	840
AHRR	1826	2096	1392	2402	1947	170	175	202	163	120
AHSA1	9478	8864	5918	12036	6712	7667	8040	8207	6772	4308
AHSA2	5444	5352	3535	6899	4465	2887	3082	3061	2585	1672
AHSG	57248	60350	38413	74587	44086	20	23	16	14	11
AHSP	11	10	9	17	11	3	2	2	2	1
