Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
RAB40C	772	1037	691	1071	1550	2844	2949	2918	2636	2621
RAB41	10	5	2	14	4	47	60	72	46	26
RAB42	261	278	141	324	247	18	24	21	15	12
RAB43	34	71	53	41	177	38	49	46	57	73
RAB4A	2148	1957	1316	2743	1835	3385	3630	3691	2973	2187
RAB4B	0	0	0	0	0	0	0	0	0	0
RAB4B-EGLN2	0	1	0	0	2	2	1	1	1	3
RAB5A	4055	3177	2196	4671	3075	5391	5653	6040	4761	3822
RAB5B	11701	10330	6775	13806	7855	19841	21253	20514	17238	10831
RAB5C	9028	9145	5745	11484	7099	7037	7548	7210	6359	3981
RAB6A	9999	8320	5719	11895	7761	24044	23925	25249	20683	15033
RAB6B	1710	1568	1063	2032	1184	39882	41761	42450	34760	20310
RAB6C	15	14	9	13	13	156	142	159	141	89
RAB7A	15684	14968	9374	19720	12099	17725	18751	17506	15627	10419
RAB7L1	1786	1544	1062	2303	1325	1469	1527	1614	1255	835
RAB8A	5840	5722	3652	7215	4473	2022	2200	2160	1833	1183
RAB8B	3376	2604	1996	3902	2639	3306	3369	3560	2915	2225
RAB9A	1701	1225	905	1937	1140	1067	1062	1130	913	643
RAB9B	191	151	122	193	118	2515	2479	2793	2117	1513
RAB9BP1	1	3	2	0	1	0	0	0	0	0
RABAC1	1289	1556	972	1777	1881	3125	3327	3042	2874	2771
RABEP1	5329	4434	3144	6159	3984	9625	9779	10775	8186	5935
RABEP2	336	571	335	496	847	437	413	411	340	432
RABEPK	2588	2529	1571	3286	1648	1320	1398	1448	1227	628
RABGAP1	4357	3733	2460	5113	3104	7918	8224	8081	6796	4415
RABGAP1L	2167	1727	1028	2424	1641	7094	7210	7820	6301	4406
RABGEF1	2223	1908	1353	2599	1590	2377	2448	2558	2099	1383
RABGGTA	1495	1780	1025	1969	1300	1967	2088	1988	1714	969
RABGGTB	6580	5050	3751	8013	4068	2719	2824	2956	2364	1635
RABIF	1122	921	674	1361	799	1188	1197	1239	968	719
RABL2A	310	301	173	394	203	1033	1131	1070	930	542
RABL2B	1072	1046	658	1335	803	2350	2575	2357	2018	1324
RABL3	1556	1297	918	1883	1180	2090	2021	2340	1800	1341
RABL5	1632	1423	976	2123	997	1316	1424	1397	1236	661
RAC1	23862	19617	13677	28908	16148	22134	22852	23921	19585	13275
RAC2	2906	3179	1998	3824	2489	229	233	204	184	117
RAC3	809	967	591	1107	1031	1058	1055	1066	1005	795
RACGAP1	9274	7718	5015	10836	6206	979	1074	985	747	575
RACGAP1P	0	0	0	0	0	2	1	0	5	0
RAD1	4069	3286	2229	4828	2750	2046	2164	2282	1775	1166
RAD17	3022	2215	1659	3312	2028	1460	1550	1669	1250	922
RAD18	3837	2927	2074	3935	2659	520	508	539	447	324
RAD21	26761	21832	15000	31260	19346	15464	15491	16618	13135	9349
RAD21-AS1	20	17	4	11	11	12	16	19	14	15
