GeneID,log2FC,P.Value,adj.P.Value
ENSG00000184735,7.918021098,0.004763125,0.106462707
ENSG00000240175,7.913903605,0.006940758,0.123306094
ENSG00000234886,7.891934265,0.012490003,0.151614776
ENSG00000252947,7.880680019,0.001946674,0.07245579
ENSG00000243137,7.86943493,0.010821066,0.143723559
ENSG00000214671,7.864111946,0.008094136,0.1299887
ENSG00000239183,7.832852792,0.005457655,0.112185859
ENSG00000255220,7.826730159,0.008163219,0.130085135
ENSG00000128564,7.809139596,0.000191018,0.023293725
ENSG00000011677,7.806725438,0.000490616,0.037046123
ENSG00000254843,7.761376878,0.010838395,0.143723559
ENSG00000171487,7.754331963,0.011146024,0.145021538
ENSG00000198758,7.753002621,0.000826622,0.047615765
ENSG00000113430,7.746906534,0.003060666,0.088530974
ENSG00000201413,7.729253529,0.013050584,0.153987214
ENSG00000249628,7.721460549,0.000278053,0.027545974
ENSG00000126890,7.706327561,0.001725688,0.068231025
ENSG00000254656,7.681840906,0.001433517,0.062024764
ENSG00000207475,7.680400681,0.002888199,0.086216013
ENSG00000274267,7.673196095,0.002662008,0.082981124
ENSG00000226057,7.662439637,0.002236389,0.077827108
ENSG00000280055,7.659894328,0.000920965,0.050409731
ENSG00000231824,7.644636577,0.00310762,0.088911153
ENSG00000258700,7.63169542,0.009594116,0.137558092
ENSG00000159217,7.619307581,0.001534821,0.064484481
ENSG00000227002,7.612125863,0.008585324,0.133281867
ENSG00000230196,7.598967942,0.006504156,0.119535075
ENSG00000249500,7.59359095,0.009542583,0.137481133
ENSG00000214283,7.591167044,0.013554131,0.156520847
ENSG00000277268,7.590490397,0.001948907,0.072474555
ENSG00000120054,7.585177771,0.011167603,0.145021538
ENSG00000248191,7.584962267,0.006574322,0.120131342
ENSG00000253661,7.573762619,0.005863135,0.115930213
ENSG00000112238,7.567431736,0.009583061,0.13754615
ENSG00000103449,7.565017694,0.000134793,0.019933179
ENSG00000120088,7.56412877,0.001588599,0.065900728
ENSG00000131668,7.551707119,0.000232187,0.025032757
ENSG00000200354,7.550713627,0.006339596,0.118515363
ENSG00000106689,7.534857798,0.000169992,0.02173847
ENSG00000198074,7.510674519,0.000328234,0.030589464
ENSG00000084628,7.509144446,0.000503805,0.03741321
ENSG00000244356,7.506187379,0.010070064,0.140642426
ENSG00000164651,7.500439511,0.000193252,0.02336545
ENSG00000160505,7.495730944,0.002566175,0.081991516
ENSG00000214039,7.474772276,0.000823182,0.047462853
ENSG00000228212,7.471449881,0.001181398,0.05633973
ENSG00000016082,7.457548847,0.001190857,0.056558974
ENSG00000250582,7.455837141,0.010993352,0.144375524
ENSG00000148584,7.452203001,0.000994755,0.052227229
ENSG00000242290,7.443042131,0.001665658,0.066850673
ENSG00000275811,7.441002982,0.011779951,0.147827941
ENSG00000225548,7.437965098,0.008036071,0.129715962
ENSG00000217083,7.414159483,0.003601965,0.095384266
ENSG00000225928,7.413796078,0.008558364,0.133022914
ENSG00000060718,7.405685771,3.01E-05,0.010346956
ENSG00000224055,7.402805016,0.009709236,0.138364148
ENSG00000230046,7.388027776,0.014345678,0.159030365
ENSG00000133020,7.383328535,0.004996636,0.109141085
ENSG00000226148,7.376276356,0.007764153,0.128301981
ENSG00000173404,7.37190941,0.007525999,0.126830962
ENSG00000180053,7.356010411,0.004974251,0.108809274
ENSG00000198573,7.322779138,0.012495717,0.151614776
ENSG00000213606,7.282110716,0.010031554,0.140382852
